Date,14,13,12,11,10,9,8,7,6,5,4,3,2,1,# infections,% sequence lengths < 13 and > 2 ,corrected median length,upload delay
2020-10-01,11,5,0,0,1,0,0,1,1,2,3,14,38,111,38,86.84%,4,2
2020-10-02,12,6,1,1,0,0,1,1,2,3,5,9,39,105,41,85.37%,6,4
2020-10-03,22,1,2,0,1,1,1,2,2,1,5,13,33,119,51,98.04%,7,5
2020-10-04,13,8,1,2,0,0,1,1,3,4,5,13,40,123,51,84.31%,6,4
2020-10-05,16,4,0,1,0,1,1,2,4,1,1,11,44,129,42,90.48%,7,5
2020-10-06,32,4,0,0,1,4,1,5,2,6,8,17,42,158,80,95.00%,7,5
2020-10-07,6,27,1,0,1,0,1,3,2,2,1,14,30,219,58,53.45%,13,11
2020-10-08,0,42,1,2,2,2,2,2,4,1,1,16,48,238,75,44.00%,12.5,10.5
2020-10-09,0,32,1,1,1,2,0,2,0,4,12,17,26,284,72,55.56%,5,3
2020-10-10,0,32,2,1,2,0,2,2,3,8,9,7,31,310,68,52.94%,8,6
2020-10-11,0,23,1,0,5,0,2,1,7,5,8,8,19,328,60,61.67%,6,4
2020-10-12,0,29,0,0,1,2,1,7,15,6,3,12,30,311,76,61.84%,6,4
2020-10-13,0,33,3,2,0,1,11,12,3,6,6,11,33,321,88,62.50%,8,6
2020-10-14,0,31,1,1,1,8,6,4,0,1,2,8,31,363,63,50.79%,9,7
2020-10-15,0,44,1,0,3,4,2,2,4,3,7,11,32,362,81,45.68%,11,9
2020-10-16,0,34,3,8,10,6,3,8,6,8,8,12,32,381,106,67.92%,9,7
2020-10-17,0,26,10,11,4,3,2,4,2,4,8,16,34,376,90,71.11%,10,8
2020-10-18,0,36,5,1,1,2,0,4,1,4,7,8,31,360,69,47.83%,12,10
2020-10-19,1,63,5,0,0,3,2,2,2,6,3,13,32,359,100,36.00%,13,11
2020-10-20,0,66,0,1,1,1,4,4,1,3,11,14,27,362,106,37.74%,13,11
2020-10-21,0,73,0,2,1,5,0,1,3,1,1,2,29,351,89,17.98%,13,11
2020-10-22,0,61,2,2,1,2,2,0,6,7,2,3,41,357,88,30.68%,13,11
2020-10-23,0,45,2,0,1,0,0,5,3,6,4,13,35,366,79,43.04%,13,11
2020-10-24,0,51,2,0,0,0,3,1,2,3,6,4,35,355,72,29.17%,13,11
2020-10-25,0,38,0,0,0,1,1,3,4,5,5,13,42,351,70,45.71%,8.5,6.5
2020-10-26,1,49,5,0,2,0,2,0,4,2,7,12,34,346,84,40.48%,13,11
2020-10-27,0,47,3,1,0,2,2,1,3,2,9,11,29,343,81,41.98%,13,11
2020-10-28,0,47,2,3,0,1,2,1,2,6,2,12,38,340,78,39.74%,13,11
2020-10-29,0,30,1,0,2,1,0,2,4,3,3,12,36,349,58,48.28%,10,8
2020-10-30,0,24,2,0,2,2,2,3,5,7,3,14,27,343,64,62.50%,6,4
2020-10-31,1,22,4,1,6,4,5,9,17,5,6,14,45,321,94,75.53%,6,4
2020-11-01,0,16,1,2,3,6,10,8,12,12,18,17,37,331,105,84.76%,5,3
2020-11-02,0,10,1,3,2,3,12,7,7,16,7,13,46,337,81,87.65%,5.5,3.5
2020-11-03,0,13,1,0,2,5,8,14,14,13,9,16,42,352,95,86.32%,6,4
2020-11-04,1,10,0,1,4,9,8,9,14,8,10,15,25,349,89,87.64%,6,4
2020-11-05,0,12,2,1,2,2,5,13,11,8,16,13,41,339,85,85.88%,6,4
2020-11-06,0,10,2,1,3,6,4,9,7,7,12,20,37,343,81,87.65%,5,3
2020-11-07,0,16,2,2,2,3,8,7,6,14,12,10,29,336,82,80.49%,5.5,3.5
2020-11-08,0,20,0,2,1,1,5,12,12,14,17,8,38,315,92,78.26%,6,4
2020-11-09,0,9,3,1,5,4,12,11,12,9,5,17,29,292,88,89.77%,6,4
2020-11-10,0,12,3,4,4,5,15,18,17,27,14,22,41,217,141,91.49%,5,3
2020-11-11,0,14,7,4,5,5,7,11,26,16,20,13,38,207,128,89.06%,6,4
2020-11-12,0,14,1,5,6,7,11,15,14,15,15,15,29,191,118,88.14%,6,4
2020-11-13,0,22,2,2,5,10,9,10,23,21,18,23,43,204,145,84.83%,6,4
2020-11-14,0,8,1,0,5,6,6,12,23,18,18,12,27,213,109,92.66%,5.5,3.5
2020-11-15,0,17,3,4,3,5,9,14,12,15,10,18,37,194,110,84.55%,6,4
2020-11-16,0,14,2,2,4,6,8,13,12,11,19,17,38,193,108,87.04%,6,4
2020-11-17,0,7,1,2,0,8,7,7,26,20,22,20,49,195,120,94.17%,5,3
2020-11-18,0,17,0,1,6,3,8,11,16,21,21,12,45,208,116,85.34%,5,3
2020-11-19,0,14,4,2,4,8,2,9,10,22,14,18,38,224,107,86.92%,5,3
2020-11-20,0,20,3,5,7,12,12,10,21,18,21,27,44,222,156,87.18%,6,4
2020-11-21,0,16,0,4,5,5,6,15,21,20,23,19,31,228,134,88.06%,5,3
